The beautiful Mrs. Paradine is accused of poisoning her older, blind husband. She hires married Anthony Keane as her lawyer and when he begins to fall in love with 

her, she encourages him.

Director: Alfred Hitchcock
Stars: Gregory Peck, Ann Todd and Charles Laughton

Runtime: 125 min 
Color: Black and White
mp4
Sample
Subtitles .srt : English, Portuguese Br


Format  : MPEG-4
File size  : 847 MiB
Duration  : 1h 54mn
Overall bit rate   : 1 037 Kbps
Width     : 512 pixels
Height     : 384 pixels
Display aspect ratio  : 4:3
Frame rate   : 25.000 fps
Audio :   AAC
Language    : English
Subtitles : English srt, Portuguese Br srt    (Not hardcoded)
