X-Art Video Collection [1080p]
2011-4		(From October to December)

Video					Featuring			Release Date
Wet Orgasm				Veronica			5-oct-2011
Morning Lovers				Caprice & Erica			10-oct-2011
Late Night				Carmen				14-oct-2011
Natural Beauty				Maryjane			17-oct-2011
Holiday in Spain			Erica & Sunshine		21-oct-2011
Stay with Me				Tabitha				28-oct-2011
The Rich Girl Part One			Abby				2-nov-2011
My Love					Eufrat				9-nov-2011
Girls Night Out				Gabriella & Anneli		14-nov-2011
The Rich Girl Part Two			Abby				16-nov-2011
After Hours				Kitty				21-nov-2011
The Masseuse				Anneli				25-nov-2011
VIP Lounge				Angie				28-nov-2011
X-Art On TV				Constance			2-dic-2011
Tropical Vibe				Caprice				9-dic-2011
Happy Ending				Carla				12-dic-2011
Dream Girl				Anneli				19-dic-2011
Journey to the East			Angel				22-dic-2011
Christmas Vacation			Leila & Carmen			26-dic-2011
Lovers in Paradise			Connie				30-dic-2011
