User Type,Username,Date,Text
[V],Mr.Stifmeister,2013-05-12T20:01Z,"U                               [ PRESENTS ]                               U

         Release Name.......[ Football.Manager.2013.PROPER-CPY
         Release Date.......[ 12/05/2013
         Shop Release Date..[ 2/11/2012
         Format.............[ Iso
         Release............[ Game
         Kind...............[ Simulation
         Protection.........[ Steam+CEG+StarForce
         Files N............[ 46x100MB

U                             [ INFORMATION ]                              U

         Football Manager is the best-selling, most realistic football mana-
         gement series ever made. Football Manager 2013 celebrates 20 years
         of games from the people at Sports Interactive by introducing an
         array of new features.
         This year's version allows you to take control of any club in more
         than 50 nations across the world and includes all of Europe's biggest
         leagues as well as database of over 500,000 real-world players and
         staff.
         As well as some landmark new features in the Career Mode, there are
         now new ways to enjoy your Football Manager experience.
         The 3D match engine has seen huge improvements this year. Everything
         on the pitch looks more realistic; from the stadiums, the players's
         movement, intelligence, and the way the ball moves through the air.
         We've also introduced hundreds of new animations to make the game feel
         more realistic and we've made the whole experience more televisual
         by introducing new camera angles and showing the kick-off and final
         whistle.

         Instructions:

         -Burn or mount the image
         -Install the game
         -Copy the crack
         -Enjoy

         Languages: Czech, Danish, Dutch, English, French, Italian, Norwegian,
         Polish, Portuguese, Spanish, Swedish, Turkish.

         Proper Note:

         SKIDROW's release is nuked for bad.crack_multiple.crashes.during.
         different.events. Here's a working proper for you all to enjoy!"
,Pimbax,2013-05-12T20:23Z,Lets hope this works.
,gilatino,2013-05-12T20:31Z,YESSSSSSSSS FINALLYYYYY
,spst1980,2013-05-12T20:35Z,"you are awesome mate . but the problem is that so many months have passed and many people have spent so many euros to buy this game.but ok,it is much appreciated!have you tested it?the crashes are gone?"
,333vuk333,2013-05-12T21:31Z,if this works I'm gonna cry tears of joy
,bfs_dark,2013-05-12T21:40Z,working tested !
,Mig_Bia,2013-05-12T21:55Z,Thank you so much i was sure from the beginnig that there will be crack neve lose trust i piracy 
,Pimbax,2013-05-12T21:56Z,*Show comments*
,ahmedkmsheesh,2013-05-12T21:56Z,can anyone upload the crack only !!! and thanks mr.stifmeister :)
,daniloc,2013-05-12T22:27Z,why download slow? :(
,aedziex23,2013-05-12T23:43Z,Does this include the latest January transfer update v13.3.3?
,gilatino,2013-05-13T00:07Z,"@ aedziex23: Yes, it includes the latest update."
,aedziex23,2013-05-13T00:35Z,"Thanks gilatino, and thanks for the upload Mr.Stifmeister"
,pfloyd51,2013-05-13T02:30Z,Thanks a lot Mr.Stifmeister! My patience paid off and I'm happy to be right that piracy will overcome.
,ijam_j,2013-05-13T02:49Z,"@spst1980
What the fuck are you talking about?"
,Pimbax,2013-05-13T02:58Z,Seems to be working fine.
,minus_one,2013-05-13T07:08Z,"Lets hope this works...
"
,andsur,2013-05-13T07:55Z,"System requirements can be found here : http://www.checkrequirements.com/game/football-manager-2013-pc
Danke up !"
,daniloc,2013-05-13T08:21Z,"downladed,when i start the game graphic is fucked up?"
,aljo161,2013-05-13T08:50Z,"7 hours and counting ... I can't wait ... if this one crashes, fuck FM ! I'm sick of it ....

By looking at comments, mostly it's positive ... I hope it works and one thing needs to be said ... I love you piracy !!! wheter it works or not :) Arrrrrghhh *cheeky pirate voice*"
,1rge,2013-05-13T12:39Z,Seed pls :(
,spst1980,2013-05-13T15:53Z,"@ijam_j
i said that so many months have passed until the release of the game.and it took a long time for a proper crack to be releashed.and so many people are dissapointed that they bought the game.we could not wait to play this awesome game,so we spent so many euros to buy it (almost 40 euros for a game????FUCK!!!!)"
,Moulzee,2013-05-13T16:43Z,"Come on guys get Seeding please. 

Im only @ 20% and i have downloaded 1GB and almost seeded 1GB."
,lontongnya,2013-05-13T18:24Z,"wow thanks,, 1 season waiting haha"
,1portugal,2013-05-13T18:28Z,"really dunno whats up with this torrent, went on 2.1M/s till 80%...
Now reaching 100k its a miracle... :s

BTW, is there any genius out there capable of doin some sort of online platform for FM multiplayer? 

PS. If u are goind to defend SEGA or even SI, bare in mind i've bought ""this"" game more than 10 times, and haven't seen any major update besides introduction of Multiple Leagues (around 97), 2D engine (2003?) and 3D engine (which is actually not that of an improvement since gamestyle hasnt changed much, they haven't even adapted the 3D engine from games to trainin, making Training section exactly the same as it was in 2003, though it did have some changes in 2008(?) which were removed in its successor)."
,LikeMike23,2013-05-13T20:19Z,"So glad this came out, I was going to buy it soon!"
,86ETA,2013-05-13T20:21Z,"Oh my fucking god !!!

:d"
,carlx71,2013-05-13T21:03Z,seed pls!! :(
,markobb,2013-05-13T21:22Z,SEEEEEEEEEEEEEEEEEEEEEEEEEDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
,86ETA,2013-05-13T21:56Z,"SEED MADAFAKAS  !!!  

:D "
,figssss,2013-05-13T22:07Z,"SEED YOU PIRATE BASTARDS! I wanna go to bed, be a bit of Mourinho! :D"
,andsur,2013-05-13T22:43Z,Found system requirements here : http://checkrequirements.com/game/football-manager-2013-pc
,bungau.mihai,2013-05-14T00:56Z,seed this bitch c'mon!
,Pimbax,2013-05-14T02:06Z,"The release seems to be fine, no issues until now.

+1"
,Hamster_Azul,2013-05-14T10:37Z,"Game working fine so far.
+1"
,Lewis_Mufc,2013-05-14T13:23Z,Works 100% cant thank you enough. will continue to seed for a while. already uploaded 20 gb =]
,mdebaq,2013-05-14T14:40Z,I was going to buy this today. Thank you.
,fillepille1891,2013-05-14T14:45Z,"thx, quetion. Copy the crack to?
Can´t make it work."
,pernaaa,2013-05-14T15:44Z,hey guys! i keep getin an error while launching «can't start program because d3dx9_41.dll» is missing»... does anyone else have this issue? any ideas on how to get through this? thanks 
,C0aBeG3,2013-05-14T15:46Z,"Working fine for me. No issue yet. Good work Stifmeister! Keep like det!
your are Top Boy in this moment !"
,croco_zg,2013-05-14T16:39Z,Finally something that worked. +1
,pernaaa,2013-05-14T16:53Z,"worked out the dll issue, workin great, BIG UP STIFMEISTERRRR"
,scuabb,2013-05-14T20:13Z,Now you could crack the patch 13.3.3 :D
,Pimbax,2013-05-14T21:03Z,"For those who don't know.. This release has the version 13.3.3

So.. The game is completely updated.

This is a perfect release.

Has the 13.3.3 version (recent) and the january squad update.

So, don't worry about nothing. Just install, put the crack and have fun.

I'll repeat myself.. Perfect release."
,Carleonee,2013-05-14T21:27Z,Does anyone know of am updated logo pack?
,markobb,2013-05-14T21:49Z,SEEEEEDDDD YOU FU*KING ASSHOLES. WOULD IT KILL YOU?
,viktormihajlov,2013-05-14T21:52Z,"hey i have this when I'm trying to play the game:
a serious error was encountered and the application will close.
An error file was generated in C:documentssports interactivefootball manager 2013crash dumpsv0.0.0.0 (2013.05.14 21.45.10).dmp

ANY HELP????"
,ahmedkmsheesh,2013-05-14T22:14Z,@pernaaa  ..... install latest direct x 
,DarkEagle44,2013-05-15T04:36Z,"sorry to be noob, but which file do is the crack and where do i copy it to?"
,niad,2013-05-15T09:14Z,"@Carleonee

http://thepiratebay.sx/torrent/7831872/Football_Manager_2013_Graphics_Pack_

As a torrent this is the latest,faces,logos,kits etc
9GB,300K+ files"
,wayme,2013-05-15T09:51Z,seeeed pliiiiiiiiiiiiiiis
,cuky123,2013-05-15T10:12Z,"yesterdey my speed was 200kbs now it's again max 30kbs omg !! guys pls SEEEEEEEDD !!

it's to slow !!!"
,viktormihajlov,2013-05-15T12:02Z,why is sooooo f*** slow????
,XtraZoom,2013-05-15T12:13Z,"Agree with so many seeders & leechers it shouldn't be this slow.

I actually have a paid version but I hate steam, everytime I change vpn servers I had to re-verify to stream I am me basically. I cannot not use vpn since p2p is blocked over here. Shitty steam and their verification."
,ahmedkmsheesh,2013-05-15T12:30Z,@DarkEagle44 ...... after u mount the iso and installed the game ....... there is a file named crack inside the iso ... and it contain 3 files .... copy all of them to installed game directory (folder of installed game) 
,Roger_the_alien,2013-05-15T14:11Z,"Thanks Mr.Stifmeister, it's working."
