TÍTULO ORIGINAL	Stroszek
AÑO	 1977
DURACIÓN	108 min.
PAÍS	Alemania
DIRECTOR	Werner Herzog
GUIÓN	Werner Herzog
MÚSICA	Chet Atkins & Sonny Terry
FOTOGRAFÍA	Ed Lachman & Thomas Mauch
REPARTO	Bruno S., Eva Mattes, Clemens Scheitz, Burkhard Driest, Pit Bedewitz
PRODUCTORA	Werner Herzog Filmproduktion / ZDF
GÉNERO	Drama
SINOPSIS	Cuando Bruno Stroszek sale de prisión, le advierten que debe dejar de beber. Con pocas habilidades y menos expectativas, sobrevive como músico callejero. Precisamente en la calle conoce a Eva, una prostituta, con la que entabla amistad. Después de ser golpeados por el chulo de ella, deciden unirse a Scheitz, un excéntrico vecino de Bruno, que ha decidido emigrar a Wisconsin, en los Estados Unidos. (FILMAFFINITY)
