X-Art Video  Collection [1080p]
2012-4		(From October to December)

Video					Featuring		Release Date
Miss Perfect				Anneli			1-Oct-2012
Wild Things				Silvie & Grace		5-Oct-2012
Dangerous Game				Jasmine			10-Oct-2012
Red Hot					Ariel			12-Oct-2012
Daydream				Diana			15-Oct-2012
Young Passion				Baby			17-Oct-2012
Flexible Beauty				Mira			19-Oct-2012
A day to remember			Baby			22-Oct-2012
Poolside Passion			Mira			26-Oct-2012
Ibiza Love				Gianna			29-Oct-2012
Casual Sex				Caprice & Ivana		31-Oct-2012
Still With Me				Kaylee			2-Nov-2012
Soul Mates				Ivy & Sebastian		7-Nov-2012
Vacation Fantasy			Susie			10-Nov-2012
Lovers Quarrel				Ivy			13-Nov-2012
Finding Elysium				Susie & Kaylee		15-Nov-2012
Formidable Beauty			Beatrice		17-Nov-2012
By Myself				Baby			20-Nov-2012
Tarde Espanola				Addison			22-Nov-2012
Heart and Soul				Connie			24-Nov-2012
Prelude To Passion			Gianna			27-Nov-2012
Introducing Angelica			Angelica		28-Nov-2012
Loving Angels				Anneli & Baby		30-Nov-2012
Inside Perfection			Angelica		2-Dec-2012
Cum with me				Beatrice		4-Dec-2012
Waterfall Emotions			Kaylee			5-Dec-2012
Unforgettable View Part I		Addison			7-Dec-2012
Then They Were Three			Baby & Susie		9-Dec-2012
Miss Me Not				Ivana			11-Dec-2012
Unforgettable View Part II		Addison			13-Dec-2012
Lipstick Lesbians			Baby & Mira		15-Dec-2012
A Love Story				Gianna			18-Dec-2012
Sent from Heaven			Baby			21-Dec-2012
A Girl's Fantasy			Beatrice		23-Dec-2012
Naughty & Nice				Angelica		25-Dec-2012
Together Again				Baby			28-Dec-2012
Morning Desires				Angie			31-Dec-2012
