TÍTULO ORIGINAL	Paris, je t'aime
AÑO	 2006
DURACIÓN	119 min.
PAÍS	Francia
DIRECTOR	Olivier Assayas, Frédéric Auburtin, Gérard Depardieu, Gurinder Chadha, Sylvain Chomet, Joel Coen, Ethan Coen, Isabel Coixet, Wes Craven, Alfonso Cuarón, Christopher Doyle, Richard LaGravenese, Vincenzo Natali, Alexander Payne, Bruno Podalydès, Walter Salles, Daniela Thomas, Oliver Schmitz, Nobuhiro Suwa, Tom Tykwer, Gus Van Sant
GUIÓN	Idea: Tristan Carné
MÚSICA	Pierre Adenot, Michael Andrews, Reinhold Heil, Johnny Klimek, Marie Sabbah, Tom Tykwer
FOTOGRAFÍA	Eric Gautier, David Quesemand, Eric Guichard, Bruno Delbonnel, Jean-Claude Larrieu
REPARTO	Documentary, Natalie Portman, Fanny Ardant, Elijah Wood, Nick Nolte, Juliette Binoche, Willem Dafoe, Bob Hoskins, Gena Rowlands, Ben Gazzara, Gérard Depardieu, Steve Buscemi, Rufus Sewell, Emily Mortimer, Maggie Gyllenhaal, Leonor Watling, Miranda Richardson, Sergio Castellitto, Olga Kurylenko, Li Xin, Margo Martindale, Yolande Moreau, Catalina Sandino Moreno, Ludivine Sagnier, Barbet Schroeder, Gaspard Ulliel, Javier Cámara
PRODUCTORA	Coproducción Francia-Liechtenstein-Suiza
GÉNERO	 Romance. Comedia | Comedia romántica. Película de episodios
SINOPSIS	En París, el amor está por todas partes: en sus bares y cafés, bajo la Torre Eiffel e incluso bajo tierra, en el metro. Algunos de los directores más prestigiosos del mundo fueron invitados a contar una historia ambientada en uno de los barrios de la ciudad. El resultado es un caleidoscopio de imágenes sobre la alegría de vivir, sobre extraños e inesperados encuentros y, especialmente, sobre el amor. (Filmaffinity) Directores (transición de los capítulos a cargo de Emmanuel Benbihy): Olivier Assayas (Quartier des Enfants Rouges), Frédéric Auburtin & Gérard Depardieu (Quartier Latin), Gurinder Chadha (Quais de Seine), Sylvain Chomet (Tour Eiffel), Joel & Ethan Coen (Tuileries), Isabel Coixet (Bastille), Wes Craven (Père-Lachaise), Alfonso Cuarón (Parc Monceau), Christopher Doyle (Porte de Choisy), Richard LaGravenese (Pigalle), Vincenzo Natali (Quartier de la Madeleine), Alexander Payne (14e arrondissement), Bruno Podalydès (Montmartre), Walter Salles & Daniela Thomas (Loin du 16e), Oliver Schmitz (Place des Fêtes), Nobuhiro Suwa (Place des Victoires), Tom Tykwer (Faubourg Saint-Denis), Gus Van Sant (Le Marais). (FILMAFFINITY)
