X-Art Video Collection [1080p]
2011-1		(From January to March)

Video				Featuring		Release Date
Play Time			Gigi & Hayden		5-ene-2011
Double the pleasure		Francesca & Caprice	12-ene-2011
My Girlfriend is Back		Gigi			19-ene-2011
Tropical fantasy		Caprice & Leila		21-ene-2011
Seaside Fantasy			Tiffany			28-ene-2011
Awesome Threesome		Leila & Faye		2-feb-2011
Prelude to an Orgy		Faye			11-feb-2011
Show You My love		Mary			16-feb-2011
Sex with a supermodel		Tiffany			23-feb-2011
Tenderness			Mikah			25-feb-2011
One Fine Day			Caprice			2-mar-2011
Just Us Girls			Tiffany			7-mar-2011
Mutual Orgasm			Tiffany			9-mar-2011
Midnight Experience		Caprice & Francesca	16-mar-2011
The Voyeur			Tatiana			23-mar-2011
Naked in the Hot Sun		Tatiana			25-mar-2011
Winter Blues			Caprice			30-mar-2011
