TÍTULO ORIGINAL	Korczak
AÑO	 1990
DURACIÓN	Sugerir trailer/vídeo 115 min.
PAÍS	Sección visual
DIRECTOR	Andrzej Wajda
GUIÓN	Agnieszka Holland
MÚSICA	Wojciech Kilar
FOTOGRAFÍA	Robby Müller (B&W)
REPARTO	Wojciech Pszoniak, Ewa Dalkowska, Teresa Budzisz-Krzyzanowska, Marzena Trybala, Piotr Kozlowski, Zbigniew Zamachowski, Jan Peszek, Aleksander Bardini, Maria Chwalibóg
PRODUCTORA	
GÉNERO	Drama | Biográfico. Nazismo
SINOPSIS	Biografía de Janusz Korczak, escritor, profesor y médico, que es recordado por su labor como director de un orfanato para niños judíos en Polonia durante los primeros años del nazismo. 
