 ┬ª      1.  Admiral T - Fanm Fatal                                  3:28      ┬ª
 ┬ª      2.  DJ Ken, X Man, Esy Kennega, Young Chang, Krys, Politik  4:13      ┬ª
 ┬ª          Nan, Lieutenant, Jah Faya, Tai J - Dancehall Party                ┬ª
 ┬ª      3.  Krys - Alcool & Dancehall                               2:10      ┬ª
 ┬ª      4.  Sael, Admiral T, Brasco, Mali, Negus, Daly, Kaf         4:37      ┬ª
 ┬ª          Malabar - Family Favela                                           ┬ª
 ┬ª      5.  Kaf Malbar - Met Sa O                                   3:49      ┬ª
 ┬ª      6.  Biga Ranx - Brigante Life                               3:27      ┬ª
 ┬ª      7.  Kalash - Gambadel Kokel                                 2:44      ┬ª
 ┬ª      8.  Broussan, Dubtonic Kru - Kingston Town                  4:45      ┬ª
 ┬ª      9.  Scorblaz, Kalash, Mighty Kila, Politik Nan, T-Jy,       4:10      ┬ª
 ┬ª          Kako, Davee G - An Kay La                                         ┬ª
 ┬ª      10. Lil Gaiv - Ray-ban Dance                                2:23      ┬ª
 ┬ª      11. Saa'turn - Dancehall Queen                              3:01      ┬ª
 ┬ª      12. T-Jy - Mwen Enviw Kan Minm                              3:11      ┬ª
 ┬ª      13. Moussier Tombola - Logobitombo                          3:31      ┬ª
 ┬ª      14. Sael, Krazy, Lil Drick - Vini Woman                     3:28      ┬ª
 ┬ª      15. Biga Ranx, Chill Bump - We Love Life                    3:18      ┬ª
 ┬ª      16. DJ Fly, Pompis - Rude Boy                               3:12      ┬ª
 ┬ª      17. Biga Ranx - Ordinary Day                                3:02      ┬ª
 ┬ª      18. Ms Mavy, Ja Faya, Tai J - Cho                           3:26      ┬ª
 ┬ª      19. Davee G - Komen I lT                                    3:05      ┬ª
 ┬ª      20. Datcha Dollar'z - Duracel                               2:32      ┬ª
 ┬ª      21. Broussai, Dub Inc - Cosmopolite                         4:57      ┬ª
 ┬ª      22. DJ Fly, Dan Jaah Tai J - AlT Di Yo                      3:09      ┬ª
 ┬ª      23. Krys - Jamais Ne Te Cache                               3:16      ┬ª
 ┬ª      24. Biga Ranx - It's A Shame                                2:52      ┬ª
 ┬ª      25. Sonyx - Cho lT Karaib                                   3:12      ┬ª
 ┬ª      26. Kalash, Azrock - Weed                                   3:52      ┬ª
 ┬ª      27. Saik, Kaf Malbar - Dancehall 4 You                      3:44      ┬ª
 ┬ª      28. Young Chang Mc - Madame Young                           3:14      ┬ª
 ┬ª                                                         t.time: 95:48      ┬ª
