  	  	Tema 	  	  	Duración 	Oyentes
1 		Mr. Sandman 			2:25 	52.842
2 		Eddie My Love 			2:15 	4.004
3 		Teenage Goodnight 			2:16 	1.639
4 		Just Between You and Me 			2:07 	4.579
5 		Love Never Changes 			2:07 	807
6 		Oh, Baby Mine (I Get So Lonely) 			1:26 	136
7 		No Other Arms, No Other Lips 			2:32 	1.980
8 		Come Home to My Arms 			2:38 	349
9 		Hummingbird 			2:15 	679
10 		Love Is a Two Way Street 			2:02 	365
11 		True Love Goes On and On 			2:52 	1.427
12 		That's Old Fashioned (That's the Way It Should Be) 			2:21 	72
13 		Born to Be With You 			2:49 	8.580
14 		Soft Sands 			2:34 	2.122
15 		Lollipop 			2:10 	60.081
16 		Your Wild Heart 			2:25 	134
17 		Echo of Love 			2:22 	1.599
18 		Lay Down Your Arms 			2:28 	3.054
19 		Zorro 			1:59 	1.971
20 		Wooden Heart 			2:24 	711
21 		A Broken Vow 			2:54 	222
22 		In the Summertime (You Don't Want My Love) 			2:22 	37
23 		White Rose of Athens 			2:31 	221
24 		Faraway Star 			2:24 	405
25 		Never On Sunday
