TÍTULO ORIGINAL	Psycho
AÑO	 1960
DURACIÓN	109 min.
PAÍS	EEUU
DIRECTOR	Alfred Hitchcock
GUIÓN	Joseph Stefano (Novela: Robert Bloch)
MÚSICA	Bernard Herrmann
FOTOGRAFÍA	John L. Russell (B&W)
REPARTO	Anthony Perkins, Janet Leigh, John Gavin, Vera Miles, John McIntire, Martin Balsam, Simon Oakland, Patricia Hitchcock
PRODUCTORA	Paramount Pictures
PREMIOS	1960: 4 nominaciones al Oscar: director, actriz sec. (Leigh), fotografía y dir. artística (B&N)
GÉNERO	Terror. Intriga | Película de culto. Asesinos en serie
SINOPSIS	Una joven secretaria, tras cometer un robo en su empresa, huye de la ciudad y, después de conducir durante horas, decide descansar en un pequeño motel de carretera regentado por un tímido joven llamado Norman. Todo parece normal y tranquilo tanto en el apartado motel como en la casa de al lado en la que viven Norman y su madre, pero las cosas no son lo que parecen. (FILMAFFINITY)
