X-Art Video Collection [1080p]
2012-1		(From January to March)

Video					Featuring			Release Date
Seaside Romp				Angel				4-ene-2012
Poolside Striptease			Carmen				9-ene-2012
Menage ?a Trois	?			Anneli & Leila			13-ene-2012
Morning Fantasy				Leila				18-ene-2012
Silvie Centerfold			Silvie				23-ene-2012
Coming Home				Veronika			25-ene-2012
One And Only Caprice			Caprice				30-ene-2012
Last Night				Leila				1-feb-2012
Strip Poker				Silvie & Eufrat			6-feb-2012
True Love				Connie				8-feb-2012
An Afternoon to Remember		Carmen				13-feb-2012
Introducing Veronika			Veronika			17-feb-2012
Afternoon Delight			Angel				20-feb-2012
Intimate				Carla				24-feb-2012
Like the First Time			Tiffany				29-feb-2012
Blonde Ambition				Abby & Carla			5-mar-2012
Heavenly Brunettes			Tiffany & Brooklyn		7-mar-2012
California Dreams			Tiffany				12-mar-2012
Time To Go				Eufrat				14-mar-2012
Lunchtime Fanyasy			Ivy				19-mar-2012
Evening at Home Part 1			Brooklyn			21-mar-2012
Paradise Found				Carmen				26-mar-2012
Perfect Girls				Tiffany & Abby			28-mar-2012
