Flamenco | 1991 | FLAC (Free Lossless Audio Codec) | 16 Tracks | 00:57:25 | 308 MB

01. Guajira  [3:36]
02. Caña de Azúcar  [3:38]
03. La No Lo Beses en la Boca  [3:07]
04. Ritmos del Paraguay  [3:25]
05. Las Luna Por el Rocio  [4:36]
06. Verdiales  [2:49]
07. Puerto de Malaga  [3:33]
08. Fondangos de Huelva  [4:22]
09. Carcelera  [3:12]
10. Reflejo Andaluz  [3:17]
11. Carretas del Rocio  [3:41]
12. Castelana  [3:49]
13. Sevillanas de la Loteria  [3:01]
14. Farruca/Con Salero y Garbo  [3:25]
15. Junto a una Rosa Llonaba  [3:57]
16. Sevillanas  [3:57]

