TÍTULO ORIGINAL 	King of Kings
AÑO 	1961
DURACIÓN 	154 min.
PAÍS 	Estados Unidos
DIRECTOR 	Nicholas Ray
GUIÓN 	Philip Yordan
MÚSICA 	Miklós Rózsa
FOTOGRAFÍA 	Franz Planer, Milton Krasner, Manuel Berenguer
REPARTO 	Jeffrey Hunter, Robert Ryan, Siobhan McKenna, Frank Thring, Hurd Hatfield, Rip Torn, Harry Guardino, Viveca Lindfors, Rita Gam, Carmen Sevilla, Brigid Bazlen, Guy Rolfe, Royal Dano, Edric Connor, Maurice Marsac, Gregoire Aslan, George Coulouris, Conrado San Martín, Gérard Tichy, Antonio Mayans, Luis Prendes, David Davies, José Nieto, Rubén Rojo, Fernando Sancho, Michael Wager, Félix de Pomés, Adriano Rimoldi, Barry Keegan, Rafael Luis Calvo, Tino Barrero, Paco Morán, Orson Welles
PRODUCTORA 	Samuel Bronston Productions. Distribuida por Warner Bros. Pictures
GÉNERO 	Aventuras. Drama | Religión. Biblia. Cine épico
SINOPSIS 	Cuando las legiones de Roma conquistan Palestina, en un establo de un pueblo llamado Belén nace un niño que es adorado por pastores y por tres magos de Oriente que acuden a él guiados por una estrella. Ante el rumor de que ha nacido el Mesías, el rey Herodes ordena asesinar a todos los recién nacidos. 
