Filename,Size,Unit
"In the Mix, Vol. 1; Taylor/11 Skylab2000 - Auburn.flac",169.19,M
"In the Mix, Vol. 1; Taylor/01 Central Fire - This Is a Shout Going Out.flac",84.83,M
"In the Mix, Vol. 1; Taylor/10 Sugar - The Feeling.flac",58.09,M
"In the Mix, Vol. 1; Taylor/03 Libra - Earoica.flac",52.75,M
"In the Mix, Vol. 1; Taylor/09 Futura - Deluxe.flac",51.71,M
"In the Mix, Vol. 1; Taylor/07 Drift - Din.flac",49.63,M
"In the Mix, Vol. 1; Taylor/04 Round Trip - Jack's Back.flac",42.7,M
"In the Mix, Vol. 1; Taylor/05 Crystal Method, The - Keep Hope Alive.flac",42.55,M
"In the Mix, Vol. 1; Taylor/08 Freaky Chakra - Trancendental Funk Bump.flac",41.72,M
"In the Mix, Vol. 1; Taylor/06 Freaky Chakra - Halucifuge (Blind Dive).flac",40.12,M
"In the Mix, Vol. 1; Taylor/02 Crystal Method, The - Now Is the Time.flac",36.62,M
"In the Mix, Vol. 1; Taylor/Folder.jpg",10.4,K
