1. 	Boom Boom Pow 		will.i.am, Jean Baptiste*, Poet Name Life* 	5:08 (1)
2. 	Rock That Body 	David Guetta, Mark Knight, Adam Walder, Baptiste, Jaime Munson, Robert Ginyard, Jr. 	David Guetta, will.i.am, Mark Knight*, Funkagenda* 	4:28
3. 	Meet Me Halfway 	Keith Harris, Baptiste, Sylvia Gordon 	Keith Harris, will.i.am 	4:44
4. 	Imma Be 	Harris, J. Tankel, D. Foder, T. Brenneck, M. Deller 	Keith Harris, will.i.am 	4:16
5. 	I Gotta Feeling 	Guetta, Riesterer 	David Guetta, Frédéric Riesterer* 	4:49
6. 	Alive 	Baptiste 	will.i.am 	5:04
7. 	Missing You 	Printz Board, Baptiste 	Printz Board, will.i.am 	4:35
8. 	Ring-a-Ling 	Harris 	Keith Harris 	4:33
9. 	Party All The Time 		will.i.am 	4:44
10. 	Out of My Head 	Board, Harris, George Pajon, Tim « Izo » Orindgreff 	Printz Board, will.i.am 	3:52
11. 	Electric City 	Bert Berns, Robert Feldman, Gerald Goldstein, Richard Gottehrer 	will.i.am 	4:08
12. 	Showdown 	Ryan Buendia 	apl.de.ap, DJ Replay 	4:27
13. 	Now Generation 	Pajon, Orindgreff 	will.i.am 	4:06
14. 	One Tribe 	Board 	will.i.am 	4:41
15. 	Rockin' to the Beat 	Board, Pajon 	will.i.am 	3:45
