TÍTULO ORIGINAL	Tristan and Isolde
AÑO	 2006
DURACIÓN	125 min.
PAÍS	Inglaterra
DIRECTOR	Kevin Reynolds
GUIÓN	Dean Georgaris, Peter Morgan, Dominic Morgan, Matthew Harvey
MÚSICA	Anne Dudley
FOTOGRAFÍA	Artur Reinhart
REPARTO	James Franco, Sophia Myles, Rufus Sewell, Jamie King, David O'Hara, Henry Cavill, JB Blanc, Mark Strong, Bronagh Gallagher, Ronan Vibert
PRODUCTORA	Coproducción Reino Unido-Alemania-República Checa; 20th Century Fox / Scott Free / ApolloProMedia / Stillking / QI Quality International
WEB OFICIAL	http://www.tristanandisoldemovie.com/
GÉNERO	Romance. Drama | Edad Media. Drama romántico
SINOPSIS	Producción de los hermanos Ridley Scott y Tony Scott sobre una leyenda medieval que relata el trágico amor de una princesa y un guerrero, que pondrá en peligro la frágil paz entre Inglaterra e Irlanda. (FILMAFFINITY)
