NHL 2013 Regular Season - 05 FEBRUARY - Highlights
-------------------------------------------------

NEW YORK Rangers       - NEW JERSEY Devils
PITTSBURGH Penguins    - NEW YORK Islanders
TORONTO Maple Leafs    - WASHINGTON Capitals
LOS ANGELES Kings      - COLUMBUS Blus Jackets
BUFFALO Sabres         - OTTAWA Senators
TAMPA BAY Lightning    - PHILADELPHIA Flyers
CALGARY Flames         - DETROIT Red Wings
FLORIDA Panthers       - WINNIPEG Jets
NASHVILLE Predators    - ST. LOUIS Blues
CHICAGO Blackhawks     - SAN JOSE Sharks


Credit: Tchugunnoe ryilo (Iron snout)
