User Type,Username,Date,Text
,Flyfisher61,2013-05-20T22:43Z,Thanks!
,dragonbandit314,2013-05-26T23:56Z,Thank you for all your efforts.
,lordsergius,2013-06-01T17:13Z,"Sorry , this is the real songs list
1.	Aerosmith - What It Takes
2.	Bad English - Price Of Love
3.	Bon Jovi - Never Say Goodbye
4.	Cheap Trick - The Flame
5.	Cinderella - Coming Home
6.	Def Leppard - Two Steps Behind
7.	Enuff Znuff - Right By Your Side
8.	Europe - I'll Cry For You
9.	Firehouse - When I Look Into Your Eyes
10.	Great White - The Angel Song 
11.	L.A. Guns - The Ballad Of Jayne 
12.	Meatloaf - I'd Do Anything For Love 
13.	Metallica - One [Jammin Version] 
14.	Night Ranger – Goodbye
15.	Ozzy Osbourne – Dreamer
16.	Poison - Something To Believe In
17.	Saigon Kick - Love Is On The Way 
18.	Scorpions - Still Loving You
19.	Skid Row - Quicksand Jesus
20.	Skid Row - Wasted Time
21.	Steelheart - She's Gone
22.	Steelheart - Wait
23.	The Cult - Edie (Ciao Baby) 
24.	Warrant - Sometimes She Cries"
