Filename,Size,Unit
CD1/14. Caetano Veloso -  Terra (Prefuse 73 '3 Mellotrons in a Quiet Room' Version).mp3,15.9,M
CD1/13. Mia Doi Todd - Canto de Iemanjá.mp3,15.58,M
"CD2/08. Los Van Van + Carlinhos Brown - Soy Loco Por Ti, América.mp3",13.73,M
CD2/05. Madlib + Joyce Moreno - Banana [ft. Generation Match].mp3,13.33,M
CD1/12. Forró in the Dark + Brazilian Girls + Angelique Kidjo - Aquele Abraço.mp3,13.32,M
CD2/10. Mayra Andrade + Trio Mocotó - Berimbau.mp3,13.21,M
CD2/11. Apollo Nove + Céu + N.A.S.A. - It's a Long Way.mp3,11.79,M
CD1/08. Curumin - Ela (Ticklah Remix).mp3,11.66,M
CD1/05. Vanessa da Mata + Seu Jorge & Almaz - Boa Reza.mp3,11.47,M
CD1/16. Bebel Gilberto Acabou Chorare.mp3,11.37,M
CD1/07. Aloe Blacc + Clara Moreno - Nascimento (Rebirth) - Scene 2.mp3,10.7,M
CD1/06. John Legend - Love I've Never Known.mp3,10.62,M
"CD1/17. David Byrne + Caetano Veloso - Dreamworld, Marco de Canaveses.mp3",10.42,M
CD2/02. Tha Boogie - Panis et Circensis.mp3,10.28,M
CD1/11. Om'Mas Keith - Mistérios.mp3,10.27,M
CD2/04. Phenomenal Handclap Band + Marcos Valle - Tudo o Que Você Podia Ser.mp3,9.94,M
CD1/15. Marisa Monte + Devendra Banhart + Rodrigo Amarante -  Nú Com a Minha Música.mp3,9.79,M
CD2/06. Marina Gasolina + Secousse - Freak le Boom Boom.mp3,9.4,M
CD2/09. Orquestra Contemporânea de Olinda + Emicida - Roda.mp3,9.12,M
CD1/03. Mia Doi Todd + José González - Um Girassol da Cor do Seu Cabelo.mp3,9.1,M
CD1/02. Beck + Seu Jorge -  Tropicália (Mario C 2011 Remix).mp3,8.33,M
CD2/01. Beirut - O Leãozinho.mp3,8.21,M
CD1/01. Alice Smith + Aloe Blacc - Baby.mp3,8.21,M
CD2/03. Of Montreal - Bat Macumba.mp3,8.04,M
CD2/07. Money Mark + Thalma de Freitas + João Parahyba - Tropical Affair.mp3,7.52,M
CD1/04. Quadron - Samba de Verão.mp3,6.35,M
CD2/16. Rita Lee - Pistis Sophia.mp3,4.84,M
CD1/09. Aloe Blacc + Alice Smith - Baby (Old Dirty Baby Dub Version).mp3,4.47,M
