X-Art Video Collection [1080p]
2013-1		(From January to March)

Video				Featuring		Release Date
Sweetest Dreams			Clover			4-Jan-2013
Spur of the Moment		Ivy			7-Jan-2013
Warm Inside			Clover & Susie		11-Jan-2013
Want You			Baby			15-Jan-2013
Yoga Master And Student		Mira			18-Jan-2013
A Little Rain Must Fall		Angelica & Ben		23-Jan-2013
Sunday Afternoon Solo		Mary			27-Jan-2013
Working Out Together		Kristen			30-Jan-2013
Seeing Double			Gianna & Addison	2-Feb-2013
Deep Longing			Angelica & Eufrat	5-Feb-2013
Sacred Romance			Connie			7-Feb-2013
A Girl Like You			Caprice			12-Feb-2013
Afternoon Picnic		Mary & Anneli		15-Feb-2013
Apartment in Madrid		Kaylee			16-Feb-2013
Invisible			Lisa			19-Feb-2013
Black and White			Lia			22-Feb-2013
Ready for Bed			Lexi			24-Feb-2013
Tuesday Morning			Tiffany			26-Feb-2013
Mad Passion			Kaylee			1-Mar-2013
Two Boys and a Girl		Beatrice		5-Mar-2013
Red Satin			Mia			6-Mar-2013
Spilled Milk			Angelica		8-Mar-2013
Jumping on the Bed		Mia			12-Mar-2013
Another Night			Bunny			13-Mar-2013
Late for Work			Kiera			15-Mar-2013
In Love with Lexi		Lexi			18-Mar-2013
Circles of Bliss		Addison			20-Mar-2013
Enchanting Real Orgasms		Caprice & Clover	22-Mar-2013
Afternoon Snack			Baby			24-Mar-2013
Miss You			Angie			26-Mar-2013
Out of this World		Angelica		28-Mar-2013
I Love X Art			Kaylee			29-Mar-2013
