X-Art Video Collection [1080p]
2011-3		(From July to September)

Video					Featuring		Release Date
Girlfriends				Silvie & Erica			4-jul-2011
Just Married				Silvie				6-jul-2011
Siempre en mi Corazon			Gabriella			11-jul-2011
The Spanish Garden			Caprice & Sunshine		15-jul-2011
Perfect Lovers				Silvie				20-jul-2011
Come to Me				Caprice & Gabriella		22-jul-2011
Her First Threesome			Stacy				27-jul-2011
Self Pleasure				Silvie				1-ago-2011
Poolside Romp				Stacy				5-ago-2011
If Only It Were You			Mary				8-ago-2011
Young Love				Maryjane			15-ago-2011
More than Ever				Annemarie			19-ago-2011
DP Double Pleasure			Erica				24-ago-2011
Love to Love You			Karina				26-ago-2011
Hot Sauna				Malena & Elle			31-ago-2011
Delicious				Malena				5-sep-2011
My First Time				Gabriella			12-sep-2011
The Foursome				Maryjane & Presley		15-sep-2011
Backdoor Lover				Caprice				19-sep-2011
Red Hot Summer				Elle				23-sep-2011
The Dorm				Veronica			28-sep-2011
Cristalina				Carmen				30-sep-2011
