X-Art Video Collection [1080p]
2012-2		(From April to June)

Video					Featuring			Release Date
Introducing Kaylee			Kaylee				1-abr-2012
Evening at Home Part 2			Brooklyn			4-abr-2012
Wild at Heart				Silvie				9-abr-2012
Roommates				Carla & Abby			11-abr-2012
Breakfast in Bed			Grace				16-abr-2012
Lovely Lovers				Kristen & Ivy			18-abr-2012
Slow Motion				Erica				22-abr-2012
Heaven Sent				Ivy				28-abr-2012
Little Lover				Angel				30-abr-2012
One Night Stand				Abby				2-may-2012
Pretty Back Door Baby			Linsay				8-may-2012
Introducing Diana			Diana				11-may-2012
Silver Bullets				Hayden & Kiera			13-may-2012
Romantic Memories			Connie				16-may-2012
L.A. Love				Avril				21-may-2012
Like a Dove				Stefanie			23-may-2012
Teenage Dream				Kaylee				29-may-2012
Sneak n Peak				Grace & Samantha		1-jun-2012
On My Own				Bree				4-jun-2012
Young and Hot				Avril				6-jun-2012
Sapphic Experience			Stefanie & Suzie		11-jun-2012
Girls Night				Caprice & Angel			15-jun-2012
Foot Fetish				Grace				20-jun-2012
Strawberry Blonde			Avril				22-jun-2012
Happy Couple				Kristen				25-jun-2012
Yoga in the Sky				Leila				27-jun-2012
