Urban Video: August 2008

CHP	Artist			Title				Time

1	Three 6 Mafia		I'd Rather			4:16
2	Yung Berg		The Business			3:53
3,4	Plies			Who Hotter Than Me		3:46
5	Grind Mode		I'm So High			3:40
6,7	G-Unit			I Like The Way She Do It	3:03
8	Maino		 	Hi Hater			3:29
9	B.o.B.			Haterz Everywhere		3:36
10,11	Twista			Money To Blow			3:03
12	The Roots		Get Busy			3:33
13	Rocko			Tomorrow/Dis Morning		3:48
14,15	Rick Ross		Here I Am			3:35
16	Buckshot		Hold It Down			4:29
17,18	Usher			Moving Mountains		5:07
19,20	Mariah Carey		Bye Bye				4:29
21	Kardinal Offishall	Dangerous			4:11
22	Busta Rhymes		Don't Touch Me			3:33
23,24	Wiz Khalifa		Say Yeah 			3:59
25,26	G-Unit			Rider Pt. 2			2:51
27,28	Cherish			Amnesia				3:47
29,30	Chris Brown		Take You Down (Live Version)	3:49
31,32	David Banner		Get Like Me			4:13
33	Birdman			I Run This Bitch		4:02
34	Keak Da Sneak		That Go				3:30
35,36	Plies			Runnin My Momma Crazy		4:20
37	The-Dream		I Luv Your Girl			4:24
38,39	RZA			You Can't Stop Me Now		3:09
40	Ray J			Gifts				3:18
41,42	Karina Pasian		16 @ War			3:45
43	Prodigy			The Life			2:49
44,45	Root Doctor Abe		Wine Rootgal Wine		3:30
46,47	Soul For Real		Every Little Thing I Do		3:43
48	Warren G		I Shot The Sheriff		3:25
49	Fugees			No Woman, No Cry		4:33

Powerset 1:

50,51	Alicia Keys		Teenage Love Affair		3:30
52,53	Sean Kingston		There's Nothin			3:31
54	Kanye West		Flashing Lights			2:24

Powerset 2:

55,56	Ying Yang Twins		Drop				3:35
57,58	Three 6 Mafia		Lolli Lolli (Pop That Body)	4:15
59	C-Side			Boyfriend/Girlfriend		3:17
