User Type,Username,Date,Text
,pottermouth,2013-03-08T19:33Z,"Hi Scene4all
Don't like requesting but could you upload Hard Men from 1996 i can't get a copy anywhere.Thanks 
http://www.imdb.com/title/tt0119257/"
,bluemoon_rising,2013-03-08T20:23Z,Could you upload The Guilt Trip. I can't find this anywhere.
,BKKJack,2013-03-09T05:58Z,cheers
[V],scene4all,2013-03-09T17:37Z,"@pottermouth, Here you go:

http://thepiratebay.sx/torrent/8236407

@bluemoon_rising, Coming soon."
,masud001,2013-03-09T19:07Z,"What a great movie :) Amazing..for my taste quality here is bad but i saw it in excellent one (i think it may be blu ray) at http://adi.gd/bluray

Enjoy!"
,BKKJack,2013-03-09T21:35Z,"Masud and kkkk go fuck yourselves cunts.

There's what looks like the back of 2 seats in frame throughout. 

Still, if you're wanting to see the film, it's  watchable with fair audio too. "
,DreaD151,2013-03-10T00:28Z,SPAMMMERS!!!! damn it to hell they are workin with the MPAA i just fuckin know it this wasnt that big of a problem a few months ago now they are flooding the bay like immigrants 
,DreaD151,2013-03-10T00:31Z,BTW @ scene4all i dont give a damn if this copy has  seats for 2 two thumbs up baby V9 A9  pretty damn good! thanks for your hard work and talent bringing us these fine theatrical moments!
,BKKJack,2013-03-11T17:34Z,Do NOT go to any posted links on here. They're full of all manner of shit.
,GambitWallstar,2013-03-11T18:33Z,"Am I the Only person who couldn't get this to work...? When I watch it the audio is clear but the picture is just lines upon more lines...? Anyone on here know why that might be? 

I download from scene4all all the time and this is the only time I've ever had issues..."
,ladysmith,2013-03-11T21:47Z,can someone please get stoker and dark skies cant find it anywhere..thanks
,ladysmith,2013-03-11T21:48Z,"can someone please get stoker and dark skies cant find it anywhere, thanks"
,Robbert-t,2013-03-14T23:25Z,Tnx scene4all
,agent_speed,2013-03-24T14:53Z,"@regenegere QUIT YOUR FUCKING BITCHING DAMMIT. scene4all SPENT THE TIME TO UPLOAD THIS FOR THOSE OF US WHO DONT WANT TO SPEND THE $11.50 FOR A MOVIE WE MAY NOT EVEN LIKE. THEY WENT AND RECORDED THIS FOR US AND POSTED IT AND YOUR GOING TO FUCKING COMPLAIN BECAUSE (some of you guys posted this but i havent finished downloading this yet so i havent seen it myself) THERE ARE THE TOP OF 2 SEATS IN THE FRAME? ARE YOU FOR FUCKING REAL MAN? GET OVER YOURSELF YOU TROLL. @scene4all, Thank you for taking the time to share this movie with us even if it might not be blu-ray/dvd quality we should still say thanks for taking the time to do it for us so i for one say THANKS and FUCK EVERYBODY ELSE WHO WANTS TO BITCH AND MOAN ABOUT IT!!!"
,hisgirl5101124,2013-03-27T02:48Z,"cant see the dark scenes at all, the chairs in the way are super annoying and really makes it hard yo see shouldve recropped and resized but over all ty for the only copy up, it not completely horrible
v6
a9"
,hisgirl5101124,2013-03-27T02:50Z,"can you please upload guilt trip, dark skies and safe haven all the 1s up has ending cut off tyvm ill keep lookn"
,Yakkodori,2013-04-14T12:37Z,"da fuq is with the quality?!!
its kinda like recorded from a Metroid Prime helmet..lol..u cant be serious.."
,cam86,2013-04-15T15:25Z,thanks:)
,Sharky101,2013-05-30T21:43Z,"Excellent!  Thanks a lot man.  
A:10
V:8"
