
 Track # 	 Name 	 Length 	 Artist(s) 	 Guest Artist(s) 
 1 	 The Beginning 	 1:48 	 DJ Clay 	  
 2 	 Goblin 	 3:21 	 ICP 	  
 3 	 Let Me Be 	 2:40 	 ABK 	  
 4 	 Don't Push Me 	 2:42 	 Myzery 	  
 5 	 Wrong N Tough 	 2:45 	 Blaze Ya Dead Homie 	  
 6 	 I'm So Fresh (ceemix) 	 3:12 	 Legz Diamond & The Purple Gang 	 Cold 187um 
 7 	 Siri (skit) 	 0:53 	 DJ Clay 	  
 8 	 When I'm Clownin' (ceemix) 	 3:17 	 ICP 	 Kreayshawn 
 9 	 Oficer Hatchet 	 3:46 	 Violent J 	  
 10 	 Ferris Wheel 	 3:06 	 Whitney Peyton 	  
 11 	 F#%k It Up Clay (skit) 	 1:52 	 DJ Clay 	  
 12 	 L.A. (original remix) 	 3:38 	 Cold 187um 	  
 13 	 Shaggy Needs Love (skit) 	 1:46 	 DJ Clay 	  
 14 	 In The Clouds 	 4:02 	 Kottonmouth Kings 	  
 15 	 Ride Slow 	 3:05 	 Drive-By 	  
 16 	 Skreeem (joe strange remix) 	 4:06 	 ICP 	 Hopsin, Tech N9ne 
 17 	 The End 	 0:57 	 DJ Clay 	  
