Filename,Size,Unit
"Lizz Tayler,","Victoria Rae Black - 18 Year Old Threesome Fun (TeenBFF) - February 14, 2012.wmv",756.16,M
"Anissa Kate,","Breanne Benson - Tender Friendship (TeenBFF) - November 15, 2012.mpg",752.92,M
"Ella Milano,","Madison Ivy - Lazy Afternoon Threesome (TeenBFF) - April 05, 2012.wmv",699.08,M
"Holly Michaels,","Dani Daniels - Time To Play (TeenBFF) - December 06, 2012.mpg",642.43,M
"Morgan Brooke,","Mae Olsen - Virtue of Jealousy (TeenBFF) - May 03, 2012.wmv",639.59,M
"April O'Neil,","Madison Ivy - April & Madison's Threesome (TeenBFF) - February 08, 2012.wmv",639,M
"Ashlyn Rae, Tasia Banx - Hot Girl Friends Play Dirty (TeenBFF) - January 31, 2012.mp4",637.55,M
"Mandy Armani,","Molly Bennett - Hard to Choose (TeenBFF) - March 02, 2012.wmv",630.97,M
"Holly Michaels,","Lizz Tayler - Serving For Two (TeenBFF) - July 19, 2012.mpg",628.12,M
"Valerie Sparks,","Rachel Rose - Easily Influenced (TeenBFF) - November 29, 2012.wmv",599.07,M
"Holly Michaels, Madison Ivy - Sex Therapy (TeenBFF) - November 08, 2012.wmv",557.57,M
"Avril Hall,","Lexi Belle - Playful Beach Babes (TeenBFF) - October 18, 2012.wmv",552.09,M
"Mia Malkova,","Casana Lei - Flexible Girl Threesome (TeenBFF) - November 01, 2012.wmv",545.72,M
"Zoey Kush,","Riley Reid - Double Pussy Galore (TeenBFF) - May 10, 2012.mp4",514.55,M
"Dani Jensen,","April O'Neil - Dinner's On You (TeenBFF) - September 13, 2012.wmv",514.01,M
"Megan Piper,","Giselle Leon - Best Friend Action (TeenBFF) - June 14, 2012.wmv",511.24,M
"Jennifer White,","Karina White - Brunette Bitches Threesome (TeenBFF) - January 03, 2012.wmv",487.81,M
"Karina White,","Whitney Westgate - Best Friend Threesome (TeenBFF) - August 02, 2012.wmv",487.81,M
"Courtney Star,","Zoey Foxx - Downward Facing Sluts (TeenBFF) - April 12, 2012.wmv",474.12,M
"Ella Milano,","Callie Cyprus - Friends with Benefits (TeenBFF) - March 08, 2012.wmv",469.96,M
"Holly Michaels, Natalia Starr - Taste So sweet (TeenBFF) - December 28, 2012.wmv",465.47,M
"Carmen Monet,","Sally Charles - Sexual Hospitality (TeenBFF) - February 17, 2012.wmv",454.13,M
"Dani Jensen,","Zoey Nixon - Seduction Frontier (TeenBFF) - August 16, 2012.wmv",437.89,M
"Lizz Tayler,","Kendall Karson - Join The Party (TeenBFF) - October 11, 2012.mp4",413.37,M
"Whitney Westgate, Allie James - Friendly Pampering (TeenBFF) - October 05, 2012.mp4",412.42,M
"Whitney Westgate, Alexis Monroe - Valley Girls (TeenBFF) - August 09, 2012.wmv",390.54,M
"Holly Michaels,","Annika Albrite - Afternoon Hot Threesome (TeenBFF) - September 20, 2012.mp4",383.28,M
"Aubrey Skye,","Tiffany Fox - Frosting on the Cake (TeenBFF) - July 05, 2012.wmv",382.46,M
"Carmen Monet,","Anikka Albrite - Blonde Paradise (TeenBFF) - June 21, 2012.wmv",361.27,M
"Screens/Courtney Star,","Zoey Foxx - Downward Facing Sluts (TeenBFF) - April 12, 2012_thumbs.jpg",352.72,K
"Screens/April O'Neil,","Madison Ivy - April & Madison's Threesome (TeenBFF) - February 08, 2012_thumbs.jpg",333.71,K
"Screens/Jennifer White,","Karina White - Brunette Bitches Threesome (TeenBFF) - January 03, 2012_thumbs.jpg",330.11,K
"Screens/Karina White,","Whitney Westgate - Best Friend Threesome (TeenBFF) - August 02, 2012_thumbs.jpg",329.91,K
"Screens/Ashlyn Rae, Tasia Banx - Hot Girl Friends Play Dirty (TeenBFF) - January 31, 2012_thumbs.jpg",324.49,K
"Screens/Carmen Monet,","Anikka Albrite - Blonde Paradise (TeenBFF) - June 21, 2012_thumbs.jpg",321.48,K
