
Various - Planet Dub
Genre: Electronic, Reggae
Style: Dub
Year: 1995

Tracklist
100th Monkey - Hoffman Dub 	6:28 	
Power Steppers - 	Inner Dub 	8:54 	
Silicon Drum - 	Dubkiss 	6:19 	
A.N.R.* - 	Rockers Rising 	6:25 	
Hempolics - 	Burning Dub 	7:02 	
Children Of The Bong - 	Underwater Dub (Analogical Roots Mix) 	7:09 	
Full Moon Scientist - 	The Exit Of Ambient Sense 	4:53 	
Outsider Meets Jah Works - 	Headphone Spill 	6:23 	
Astralasia - 	Bongwater Dub (Kissing The Toad Mix) 	7:16 	
Eat Static - 	Freedom Ridge 	8:09 	
Rootsman, The - 	Intifada 	6:27 	
Strange Brew - 	Easy Way Out 	5:41 	
Alien Progeny - 	Sadhana Dub 	10:16 	
Disciples, The (2) - 	Where Were You 	6:39 	
Alpha & Omega - 	David And Goliath 	3:32 	
Rhythmites, The - 	Wanayarra Dub 	5:28 	
Full Moon Scientist - 	Lunar Base Dub 	6:31 	
100th Monkey - 	Hoffman Dub (Albert's Bicycle Ride Mix) 	6:37
