X-Art Video Collection [1080p]
2011-2		(From April to June)

Video					Featuring		Release Date
Pink and Tight				Hayden			4-abr-2011
My Best Friends Boyfriend		Mikah			6-abr-2011
Stolen Moment				Mary			8-abr-2011
Absolutely Gorgeous			Tiffany			11-abr-2011
Deep Inside Caprice			Caprice			13-abr-2011
After Sunset				Tyffany & Faye		18-abr-2011
Once We Kiss				Caprice & Katherine	20-abr-2011
The Ultimate Blowjob			Sam & Marie		22-abr-2011
The Art of Anal Sex			Marie			25-abr-2011
More Than Just Friends			Victoria		29-abr-2011
Solitude				Caprice			4-may-2011
Two Into One				Katka			6-may-2011
The Wetter the Better			Leila & Francesca	11-may-2011
Every Mans Desire			Melanie & Victoria	18-may-2011
Blue Dream				Leila			23-may-2011
Sex Love and Happiness			Mia			27-may-2011
Three in ?the Morning			Tiff&Cap&Francesca	30-may-2011
Pure Passion				Mary			3-jun-2011
Just for You				Katherine		10-jun-2011
The Voyeur Part 2			Tatiana			20-jun-2011
Fucking Perfection			Caprice			24-jun-2011
Sexy Dance				Marie			29-jun-2011
