Filename,Size,Unit
"Chillout; Phase Two, Disc 1/01 Voodoo Warriors of Love - Sweat.flac",86.92,M
"Chillout; Phase Two, Disc 1/02 Serve Chilled - Eve's Theme.flac",135.46,M
"Chillout; Phase Two, Disc 1/03 Sad World - Apadana.flac",51.46,M
"Chillout; Phase Two, Disc 1/04 Terre Thaemlitz - Fat Chair.flac",58.41,M
"Chillout; Phase Two, Disc 1/05 Deep Space Network - Zenn La.flac",79.47,M
"Chillout; Phase Two, Disc 1/06 Cabaret Voltaire - Project 80 (Extract 1).flac",152.28,M
"Chillout; Phase Two, Disc 1/07 Mysteries of Science - Creatures Made of Light....flac",103.6,M
"Chillout; Phase Two, Disc 1/08 Human Mesh Dance - Wet Moon.flac",67.52,M
"Chillout; Phase Two, Disc 1/Folder.jpg",12.35,K
"Chillout; Phase Two, Disc 2/01 Sun Electric - R-Gent.flac",53.52,M
"Chillout; Phase Two, Disc 2/02 Optica - Dolcevita.flac",54.19,M
"Chillout; Phase Two, Disc 2/03 Aphex Twin - Blue Calx.flac",72.2,M
"Chillout; Phase Two, Disc 2/04 Prototype 909 - Understand.flac",112.84,M
"Chillout; Phase Two, Disc 2/05 Drum Club, The - Spaced Out Locked In.flac",61.47,M
"Chillout; Phase Two, Disc 2/06 Air Liquide - Sun Progress.flac",88.11,M
"Chillout; Phase Two, Disc 2/07 Omicron - Tranquility Base.flac",58.47,M
"Chillout; Phase Two, Disc 2/08 Irresistible Force, The - Space Is the Place.flac",90.49,M
"Chillout; Phase Two, Disc 2/09 Orbital - Belfast.flac",81.84,M
"Chillout; Phase Two, Disc 2/Folder.jpg",12.35,K
