Noticed this album wasn't on piratebay so here you are, enjoy! Jack{X


Nightmare of You, Self-titled album

'Track Listing'

1. "The Days Go by Oh So Slow"

2. "Dear Scene, I Wish I Were Deaf"

3. "Thumbelina"

4. "My Name Is Trouble"

5. "Why Am I Always Right?"

6. "I Want to Be Buried in Your Backyard" (Both the album and early version)

7. "Ode to Serotonin"

8. "Marry Me"

9. "In the Bathroom Is Where I Want You"

10. "The Studded Cinctures"

11. "Heaven Runs on Oil"
