 	  1. Littlest Things 	Lily Allen 	
 	  2. A Little Bit Of Love 	Brenda Russell 	4:36  	
 	  3. Can't You Tell 	Vetiver  	
 	  4. Rescue Song (RAC Remix) 	Mr Little Jeans 	
	  5. Recollections of the Wraith 	Shabazz Palaces  	
 	  6. Mi Jeva 	Boogaloo Assassins 	
 	  7. Faces Now (Caress Mix) 	Keepaway 	
 	  8. Love Will Find A Way 	William Bell 	
 	  9. Open Your Eyes 	Bobby Caldwell 	
	10. No Other Plans 	Sunny Levine feat. Young Dad 	
	11. (You) Got What I Need 	Freddie Scott 	
 	12. As For Tonight 	Sunny Levine feat. Orelia
