Filename,Size,Unit
01 - ,Guus Meeuwis - Het Kan Hier Zo Mooi Zijn.mp3,10.72,M
02 - ,Guus Meeuwis - Nieuwe CD.mp3,8.82,M
03 - ,Guus Meeuwis - Zo Voelt Het Dus.mp3,8.14,M
04 - ,Guus Meeuwis - Vrienden.mp3,9.7,M
05 - ,Guus Meeuwis - Lieve.mp3,8.17,M
06 - ,Guus Meeuwis - Waar Je Ook Bent.mp3,7.89,M
07 - ,Guus Meeuwis - Loop Met Me Mee.mp3,8.58,M
08 - ,Guus Meeuwis - Dag Als Vandaag.mp3,9.42,M
09 - ,Guus Meeuwis - Doe De Gordijnen Dicht.mp3,9.81,M
10 - ,Guus Meeuwis - Overwaait.mp3,7.92,M
11 - ,Guus Meeuwis - Een Leven Lang.mp3,11.37,M
12 - ,Guus Meeuwis - Nooit Meer Hetzelfde.mp3,9.45,M
13 - ,Guus Meeuwis - Zeeën Van Tijd.mp3,8.06,M
Ariclenes.png,106.79,K
Back.bmp,6.97,M
CD.bmp,5.81,M
DutchReleaseTeam NFO.txt,461,B
DutchReleaseTeam.png,105.06,K
Front.bmp,5.65,M
