X-Art Video Collection [1080p]
2012-3		(From July to September)

Video				Featuring			Release Date
Good Vibrations			Silvie & Ariel			2-jul-2012
Positively in Love		Addison				4-jul-2012
Sunday Afternoon		Bree & Hayden			6-jul-2012
Grace Angelic			Grace				9-jul-2012
Pure Grace			Grace				11-jul-2012
Dream Come True			Susie & Angie			13-jul-2012
Pink Orgasm			Hayden				16-jul-2012
Backstage			Maya				18-jul-2012
Wet Dream			Ivy				20-jul-2012
Morning Tryst			Gianna				25-jul-2012
Come to my Window		Avril & Keira			27-jul-2012
Transcendence			Silvie				30-jul-2012
Casual Affair			Eufrat & Grace			1-ago-2012
White Hot			Mary				2-ago-2012
Farewell			Jessie				3-ago-2012
Close to the Edge		Leila & Kaylee			6-ago-2012
Inspiration			Susie				10-ago-2012
Coucher Avec an Autre Fille	Jessie & Anais			13-ago-2012
Being Me			Addison				15-ago-2012
Three's Company			Caprice & Anneli		17-ago-2012
This Side of Paradise		Ivy				19-ago-2012
Private Time			Abby				21-ago-2012
Unbelievably Beautiful		Silvie				24-ago-2012
Starting Over			Jessie				27-ago-2012
Perfect Together		Mary & Ariel			29-ago-2012
Side by Side			Leila & Ivy			3-sep-2012
First Love			Kaylee				5-sep-2012
House of the Rising Sun		Jessie				7-sep-2012
Morning Memories		Cindy				10-sep-2012
Classic Beauty			Silvie				11-sep-2012
Amazing Grace			Grace				14-sep-2012
Underwater Lover		Silvie & Kaylee			17-sep-2012
Black Lace Bliss		Gianna				19-sep-2012
Kristen In Bed			Kristen				21-sep-2012
Three for the Show		Leila				24-sep-2012
Russian Invasion		Grace & Linsay & Nastia		26-sep-2012
Photo Fantasy			Maya				28-sep-2012
