Fourth compilation of new singles an EPs April 2013 in a single torrent.
Format: MP3 320 Kbps

Nr. Artist -EP Title-     Track Title

01. Liar -Alpha-  Tequila Mockingbird feat. Druid Cloak
02. Liar -Alpha-  Alpha
03. Liar -Alpha-  Honey Trap
04. Liar -Alpha-  Tequila Mockingbird feat. Druid Cloak (FUCKOWFSKI Remix)
05. Liar -Alpha-  Alpha (ViLL╬¢GE Remix)
06. Deafblind feat Living Proof -Anywhere-  Anywhere
07. Deafblind feat Living Proof -Anywhere-  Switch it Up
08. Sferic -Get With The Times-  Get With The Times (Original Mix)
09. Sferic -Get With The Times-  Flowing (Original Mix)
10. Ed Solo and Stickybuds -Jungle Cakes Vol 17-  Smoke The Weed
11. Ed Solo and Stickybuds -Jungle Cakes Vol 17-  Joker Smoker
12. Ji Ben Gong & Kallum -Looking Forward-  Play with Your Heart
13. Ji Ben Gong & Kallum -Looking Forward-  Looking Forward
14. Braincrack -Bad Business (Remix EP)-  Bad Business (Loudnoised Remix)
15. Braincrack -Bad Business (Remix EP)-  Bad Business (Saintone Remix)
16. Braincrack -Bad Business (Remix EP)-  Bad Business (SubYourself Remix)
17. Fearful -Tongues/Nostromo-  Tongues
18. Fearful -Tongues/Nostromo-  Nostromo
19. Geode -Smokin Session Vol 23-  Ode (feat. Earl T & C Tivey)
20. Geode -Smokin Session Vol 23-  Phi
21. Geode -Smokin Session Vol 23-  Ruh (feat. C Tivey)
22. ASC -Flood Tide Rising-  Flood Tide Rising
23. ASC -Flood Tide Rising-  Outflow
24. ASC -Flood Tide Rising-  Dream of the Future
25. ASC -Sonic Assault EP-  Sonic Assault
26. ASC -Sonic Assault EP-  Sonic Assault (Kangding Ray RMX)
27. ASC -Sonic Assault EP-  Fourier System
28. ASC -Sonic Assault EP-  Karma
29. ASC -Sonic Assault EP-  Sympathy
30. ASC -Sonic Assault EP-  Karma (Chrissy Murderbot RMX)
31. ASC -Sonic Assault EP-  Sympathy (Mike Slott's Reamuxx)
32. Still -After Dark Presents Still-  Flashback
33. Still -After Dark Presents Still-  Immersion
34. Still -After Dark Presents Still-  Flashback
35. Wickaman, SuddenDef & RV -Snarl/Something Deeper-  Snarl Feat Alicia King
36. Wickaman, SuddenDef & RV -Snarl/Something Deeper-  Something Deeper
37. Micky Noise -Fullonika EP- Fullonika
38. Micky Noise -Fullonika EP- Illuminate
39. Micky Noise -Fullonika EP- Distant Life
40. Micky Noise & Freaked Frequency -Fullonika EP-  Krash
41. Chicane & Ferry Corsten feat Christian Burns -One Thousand Suns-  One Thousand Suns (Soundprank Vocal Edit)
42. Chicane & Ferry Corsten feat Christian Burns -One Thousand Suns-  One Thousand Suns (Original Vocal Edit)
43. Chicane & Ferry Corsten feat Christian Burns -One Thousand Suns-  One Thousand Suns (Danny Howard Vocal Edit)
44. Chicane & Ferry Corsten feat Christian Burns -One Thousand Suns-  One Thousand Suns (Soundprank Vocal Mix)
45. Chicane & Ferry Corsten feat Christian Burns -One Thousand Suns-  One Thousand Suns (Danny Howard Vocal Mix)
46. Bobmo -Sonic Soul-  Sonic Soul
47. Bobmo -Sonic Soul-  Werk It
48. Bobmo -Sonic Soul-  Hot Spot
49. Rudimental -Waiting All Night-  Waiting All Night (feat. Ella Eyre)
50. Rudimental -Waiting All Night-  Baby (feat. MNEK & Sinead Harnett)
51. Rudimental -Waiting All Night-  Right Here (Andy C Remix)
52. Rudimental -Waiting All Night-  Hell Could Freeze (Skream Remix)
53. Rudimental -Waiting All Night-  Waiting All Night (Kidnap Kid Remix)
54. Rudimental -Waiting All Night-  Waiting All Night (Clean Bandit Remix)
55. Rudimental -Waiting All Night-  Waiting All Night (Lee Foss Remix)
56. Moby and Mark Lanegan -The Lonely Night-  The Lonely Night
57. Moby and Mark Lanegan -The Lonely Night-  The Lonely Night (Photek Remix)
58. Moby and Mark Lanegan -The Lonely Night-  The Lonely Night (Moby's January 14 Remix)
59. Arkwright -Retaliate-  Retaliate
60. Arkwright -Retaliate-  New World Order
61. Arkwright -Retaliate-  Subdefuse
62. Arkwright -Retaliate-  Retaliate (DT remix)
63. Matta -Stalker-  Stalker
64. Matta -Stalker-  Verse 32
65. Ordure -The Process EP-  The Process (Original Mix)
66. Ordure -The Process EP-  Splinters (Original Mix)
67. Ordure -The Process EP-  Dat Vibe (Original Mix)
68. Ordure -The Process EP-  The Process (Oskilator Remix)
69. Ordure -The Process EP-  Splinters (Spenghead Remix)
70. Ordure -The Process EP-  Dat Vibe (Pythius Remix)
71. Sounduo -Live For The Future-  Wonder
72. Sounduo -Live For The Future-  Rootsman Style
73. Sounduo -Live For The Future-  Fyah Bun Dem
74. Sounduo -Live For The Future-  Murderah
75. Sounduo -Live For The Future-  Make It Pretty
