Filename,Size,Unit
Steins;Gate - 01.avi,407.32,M
Steins;Gate - 02.avi,366.06,M
Steins;Gate - 03.avi,381.12,M
Steins;Gate - 04.avi,313.49,M
Steins;Gate - 05.avi,312.76,M
Steins;Gate - 06.avi,337.71,M
Steins;Gate - 07.avi,359.4,M
Steins;Gate - 08.avi,334.03,M
Steins;Gate - 09.avi,337.77,M
Steins;Gate - 10.avi,319.88,M
Steins;Gate - 11.avi,324.17,M
Steins;Gate - 12.avi,306.74,M
Steins;Gate - 13.avi,342.22,M
Steins;Gate - 14.avi,308.64,M
Steins;Gate - 15.avi,308.13,M
Steins;Gate - 16.avi,366.28,M
Steins;Gate - 17.avi,352.53,M
Steins;Gate - 18.avi,297.99,M
Steins;Gate - 19.avi,298.72,M
Steins;Gate - 20.avi,306.95,M
Steins;Gate - 21.avi,303.67,M
Steins;Gate - 22.avi,314.6,M
Steins;Gate - 23.avi,399.88,M
Steins;Gate - 24.avi,321.35,M
