  	  	Titre 	  	  	Durée 	Auditeurs
1 		Lightning Bolt 			2:24 	40 833
2 		Two Fingers 			3:16 	45 462
3 		Taste It 			2:24 	30 908
4 		Seen It All 			2:51 	25 378
5 		Simple as This 			3:19 	22 543
6 		Country Song 			1:50 	26 509
7 		Broken 			4:07 	22 495
8 		Trouble Town 			2:50 	30 015
9 		Ballad of Mr Jones 			2:39 	18 203
10 		Slide 			3:09 	19 985
11 		Someone Told Me 			2:37 	24 091
12 		Note to Self 			2:41 	17 928
13 		Someplace 			3:32 	17 048
14 		Fire 			1:46 	16 617 
