busta rhymes                   we made it
carly rae jepsen               tug of war
flo-rida                       let it roll
inna                           club rocker
inna                           endless
kelley clarkson                catch my breadth
linkin park                   CASTLE OF GLASS
maroon 5                       one more night
linkin park                    never back down
owl city                       vanilla twilight
owl city                       good time
pitbulll                       get it started 
rihanna                        we found love
rihanna                        love the way you lie
sean paul                      find it
shakira                        addicted to you
kelley                         clarkson stronger
taylor swift                   love story
taylor swift                   we are never ever getting back together
the train                      50 ways to saygood bye
the train                      drive by
flo rida                       wistle
winley                         heatwave
